hshami 0 Public 7                                                                                 I love Tweeter!

hshami 3 Public 2                                                                                 This is a public post SAHN

hshami 4 Private 0                                                                                 This is private

sshami 5 Public 1                                                                                 Hey Tweeter

sshami 6 Public 0                                                                                 Man why is Tweeter so damn awesome??

sshami 7 Private 0                                                                                 Hello my followers!

jpinkman 8 Public 0                                                                                 Yeah Mr. White! Yeah Science!

hshami 10 Public 1                                                                                 This is a post test to see how this post would look if it went to exceed or maybe meet the 140 character limit because I have alot of stuff.

hshami 11 Public 1                                                                                 Posting more stuff up in here!!

heisenberg 12 Public 3                                                                                 Say my name...

gfring 16 Public 11                                                                                 Come visit Los Pollos, where something delicious is always cooking.

jpinkman 17 Public 13                                                                        Yooo bitch, hit me up..

hshami 18 Public 12                                                                  Woah Jesse Pinkman uses Tweeter?? Sweet!

hshami 20 Public 5                                                       Saul Goodman too? This is insane..  

ukhalid 22 Public 7                                                  Tweeter is going to take over the world!! Get ready folks!

jpinkman 25 Private 1                                          Private posts bitch, thats what I'm talking about

heisenberg 30 Private 0                                     Jesse! We have to cook!

hshami 34 Private 2                                    Hello to all of my followers!

hshami 36 Public 1        Twatter.

jpinkman 38 Public 0  Hey @hshami, you're a bitch.

